titulo	numero_expediente	tipo_contrato	estado_licitacion	importe_licitacion	valor_estimado_contrato	fecha_limite_presentacion	organo_contratacion	enlace	codigo_cpv	procedimiento_contratacion	forma_presentacion	duracion_contrato	financiacion_ue	fecha_formalizacion	sistema_contratacion	tramitacion	descripcion	pdf	fuente	fecha_proceso	provincia_ejecucion	comunidad_autonoma_ejecucion	topicos_lda	clasificacion	palabras_tecnologicas_detectadas	palabras_descartadas_detectadas
Suministro de dos monitores modulares multiparamétricos de cuidados críticos para la unidad de reanimación	A/SUM-032481/2026	Suministros	En plazo	29950.0	29950.0	2026-08-24	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-dos-monitores-modulares-multiparametricos-cuidados-criticos-unidad	33195000-3	Abierto simplificado	Electrónica	2 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de dos monitores modulares multiparamétricos de cuidados críticos para la unidad de reanimación	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Suministro de reactivos, instalación y puesta en marcha de los equipamientos necesarios para el diagnóstico molecular por NGS de tumores sólidos y determinación del HRD para el Servicio de Anatomía Patológica del Hospital Universitario Infanta Sofía de San Sebastián de Los Reyes (Madrid)	A/SUM-033953/2026	Suministros	En plazo	55619.0	55619.0	2026-08-26	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-reactivos-instalacion-puesta-marcha-equipamientos-necesarios	33696500-0	Abierto simplificado	Electrónica	6 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de reactivos, instalación y puesta en marcha de los equipamientos necesarios para el diagnóstico molecular por NGS de tumores sólidos y determinación del HRD para el Servicio de Anatomía Patológica del Hospital Universitario Infanta Sofía	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Obras de demolición de los antiguos quirófanos de la planta primera y segunda del Instituto Provincial Médico Quirúrgico (IPMQ) para nuevos usos en El Hospital General Universitario Gregorio Marañón	A/OBR-025390/2026	Obras	En plazo	79865.42	79865.42	2026-08-21	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/obras-demolicion-antiguos-quirofanos-planta-primera-segunda-instituto-provincial	45000000-7	Abierto simplificado	Electrónica	1 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Obras de demolición de los antiguos quirófanos de la planta primera y segunda del Instituto Provincial Médico Quirúrgico (IPMQ) para nuevos usos en El Hospital General Universitario Gregorio Marañón	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	No tecnológica		obras
Obras de reforma y adecuación de espacios en la planta baja de la Consejería de Digitalización en la sede de Embajadores 181 de Madrid	A/OBR-028494/2026	Obras	En plazo	398567.32	398567.32	2026-08-26	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/obras-reforma-adecuacion-espacios-planta-baja-consejeria-digitalizacion-sede	45000000-7	Abierto simplificado	Electrónica	3 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	El objeto del contrato es la ejecución de las obras necesarias para la reforma y adecuación de espacios en planta baja de la Consejería de Digitalización en la sede de la calle Embajadores 181 de Madrid. La actuación consiste en reformar un espacio de 310 m² en planta baja, actualmente destinado a cocina, comedor, cámaras frigoríficas y vestuarios, para adaptarlo a nuevas necesidades funcionales. Se transformará en un conjunto más reducido y eficiente que incluirá un comedor más pequeño, un office, un taller de mantenimiento, un laboratorio, un cuarto de conductores y la mejora de los vestuarios existentes, que se mantendrán en su ubicación actual. Además de las obras señaladas, también se llevarán a cabo las actuaciones necesarias para ampliar el espacio donde se encuentra ubicada Subdirección General de Transformación Educativa en la planta cuarta del edificio.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	No tecnológica		obras
Suministro de una Estación de trabajo de Anestesia de gama media y de su Monitor Hemodinámico asociado para el Hospital U. de La Princesa. Procedimiento Abierto Simplificado Abreviado	A/SUM-031632/2026	Suministros	En plazo	36000.0	36000.0	2026-08-20	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-estacion-trabajo-anestesia-gama-media-su-monitor-hemodinamico-asociado	33172000-6, 33195000-3	Abierto simplificado	Electrónica	2 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de una Estación de trabajo de Anestesia de gama media y de su Monitor Hemodinámico asociado para el Hospital U. de La Princesa.  Procedimiento Abierto Simplificado Abreviado	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
"Aprovechamiento extraordinario de maderas 2026 V2 en el MUP 194 ""Monte de Viñuelas"", del término municipal de Madrid"	MA-2026-194-V2	Patrimonial	En plazo	14291.5	14291.5	2026-08-18	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/aprovechamiento-extraordinario-maderas-2026-v2-mup-194-monte-vinuelas-termino	03410000-7	Abierto	Manual y/o electrónica	2 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	"Autorización demanial para la ejecución del aprovechamiento extraordinario de maderas 2026 V2 en el Monte de Utilidad Pública nº 194 del Catálogo, denominado ""Monte Viñuelas"" , sito en el término municipal de Madrid"	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Suministro, Implantación y puesta en marcha de un sistema integral de información clínica y telemonitorización de alta densidad de datos para investigación clínica pediátrica destinado a la nueva Unidad para el avance de la Investigación Clínica en niños y adolescentes de la Fundación para la Investigación Biomédica del Hospital Infantil Universitario Niño Jesús, a adjudicar por procedimiento abierto con pluralidad de criterios para el proyecto UICC24/00044, FINANCIADO POR EL Plan de Recuperación, Transformación y Resiliencia – Fondos NEXT GENERATION EU	009/2026	Suministros	En plazo	190000.0	190000.0	2026-08-18	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-implantacion-puesta-marcha-sistema-integral-informacion-clinica	48814400-1, 48000000-8	Abierto	Electrónica	42 días	Asociado al Plan de Recuperación, Transformación y Resiliencia	2100-12-31	No aplica	Ordinaria	Suministro, implantación, instalación y puesta en marcha de un sistema integral de información clínica y telemonitorización de alta densidad de datos para investigación clínica pediátrica, destinada a la nueva Unidad para el avance de UICEC, en atención a las necesidades concretas que se pretenden satisfacer y como consecuencia de la falta de medios suficientes para cometer los trabajos objeto del presente contrato por parte de la FIBHNJS. El contrato se configura como un proyecto integral, incluyendo todas las actuaciones necesarias para la completa puesta en funcionamiento del sistema objeto del mismo, así como los procesos de integración, validación tecnológica, interoperabilidad y adaptación funcional necesarios para su utilización en entornos de investigación clínica pediátrica, seguimiento de participantes y monitorización avanzada de alta complejidad.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	Tecnológica	datos	
Suministro en régimen de arrendamiento de una pasarela peatonal provisional elevada destinada a garantizar la accesibilidad al auditorio del Hospital Universitario 12 de Octubre	2026-0-53	Suministros	En plazo	139499.9	139499.9	2026-08-18	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-regimen-arrendamiento-pasarela-peatonal-provisional-elevada-destinada	44212000-9	Abierto simplificado	Electrónica	20 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro en régimen de arrendamiento de una pasarela peatonal provisional elevada destinada a garantizar la accesibilidad al auditorio del Hospital Universitario 12 de Octubre	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Suministro de vehículos de desguace y retirada de los mismos para prácticas de preparación del encuentro interno de rescate en accidentes de tráfico y para maniobras de tráfico en parques	A/SUM-016447/2026	Suministros	En plazo	57838.0	57838.0	2026-08-28	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-vehiculos-desguace-retirada-mismos-practicas-preparacion-encuentro	34115300-9	Abierto simplificado	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de vehículos de desguace y retirada de los mismos para prácticas de preparación del encuentro interno de rescate en accidentes de tráfico y para maniobras de tráfico en parques	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Suministro de cartuchería para las practicas de tiro para los cursos selectivos de formación básica y especializada para policías locales en el Instituto de Formación Integral en Seguridad y Emergencias de la Comunidad de Madrid	A/SUM-016721/2026	Suministros	En plazo	50490.0	50490.0	2026-08-27	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-cartucheria-practicas-tiro-cursos-selectivos-formacion-basica	35331000-3	Abierto simplificado	Electrónica	2 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de cartuchería para las practicas de tiro para los cursos selectivos de formación básica y especializada para policías locales en el Instituto de Formación Integral en Seguridad y Emergencias de la Comunidad de Madrid	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
P.A.S. 55/2026. Servicios para el transporte de equipamientos y mudanzas en los centros adscritos a la gerencia del Hospital Universitario La Paz-Carlos III-Cantoblanco	P.A.S. 55/2026	Suministros	En plazo	27976.08	89523.46	2026-08-24	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pas-552026-servicios-transporte-equipamientos-mudanzas-centros-adscritos-gerencia	60112000-6, 63100000-0	Abierto simplificado	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Servicios para el transporte de equipamientos y mudanzas en los centros adscritos a la gerencia del Hospital Universitario La Paz-Carlos III-Cantoblanco	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Suministro de solución de cloruro sódico al 7% y hialuronato sódico al 0,1% para movilización de secreciones mucosas para el servicio de farmacia del Hospital Universitario de Fuenlabrada	PA SUM 25-037	Suministros	En plazo	125402.4	275885.28	2026-08-27	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-solucion-cloruro-sodico-7-hialuronato-sodico-01-movilizacion	33140000-3	Abierto	Electrónica	24 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de solución de cloruro sódico al 7% y hialuronato sódico al 0,1% para movilización de secreciones mucosas para el servicio de farmacia del Hospital Universitario de Fuenlabrada	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Obras de adecuación de parámetros y humanización de espacios asistenciales de los Centros de Salud, Consultorios Locales y otros edificios dependientes de la Gerencia Asistencial de Atención Primaria del Servicio madrileño de Salud.	A/OBR-028190/2026	Obras	En plazo	962579.0	962579.0	2026-08-24	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/obras-adecuacion-parametros-humanizacion-espacios-asistenciales-centros-salud	45442100-8	Abierto simplificado	Electrónica	15 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Obras de adecuación de parámetros y humanización de espacios asistenciales de los Centros de Salud, Consultorios Locales y otros edificios dependientes de la Gerencia Asistencial de Atención Primaria del Servicio madrileño de Salud.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	No tecnológica		obras
P.A.S. 2026-5-20. Suministro de catéter emisor radiofrecuencia para ablación para el Hospital Universitario La Paz	P.A.S. 2026-5-20	Suministros	En plazo	139120.0	139120.0	2026-08-24	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pas-2026-5-20-suministro-cateter-emisor-radiofrecuencia-ablacion-hospital	33140000-3	Abierto simplificado	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de catéter emisor radiofrecuencia para ablación para el Hospital Universitario La Paz	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
P.A.S.A 2026-1-2. Suministro de dispositivos de captura de datos de inyección que interactúa con plumas desechables de insulina para el Hospital Universitario La Paz	P.A.S.A 2026-1-2	Suministros	En plazo	48000.0	57600.0	2026-08-20	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pasa-2026-1-2-suministro-dispositivos-captura-datos-inyeccion-interactua-plumas	33696500-0	Otro procedimiento	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de dispositivos de captura de datos de inyección que interactúa con plumas desechables de insulina para el Hospital Universitario La Paz	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	Tecnológica	datos	
Adquisición de productos para el lavado de ropa y vajilla para centros adscritos a la Agencia Madrileña de Atención Social (3 lotes)	A/SUM-015427/2026	Suministros	En plazo	1608554.65	8364484.18	2026-08-18	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/adquisicion-productos-lavado-ropa-vajilla-centros-adscritos-agencia-madrilena-0	39831000-6, 39832000-3	Abierto	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Adquisición de productos para el lavado de ropa y vajilla para centros adscritos a la Agencia Madrileña de Atención Social (3 lotes)	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Suministro grupos electrógenos, instalación y combustible Hispanidad 2026	09/2026 CM	Suministros	En plazo	94746.23	94746.23	2026-08-19	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-grupos-electrogenos-instalacion-combustible-hispanidad-2026	31121000-0, 51111200-5, 09134000-7, 24957000-7	Abierto simplificado	Electrónica	2 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Arrendamiento de grupos electrógenos insonorizados incluyendo su transporte, instalación, puesta en funcionamiento, mantenimiento, asistencia técnica, suministro de combustible y aditivos necesarios para su funcionamiento, legalización y desmontaje para los escenarios de Hispanidad 2026.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
PAS 8/2026 - Servicios Integrales de Transporte Material y Muestras Biológicas en el Marco del Proyecto PI25/00971	PAS 8/2026	Servicios	En plazo	35002.0	59289.0	2026-08-24	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pas-82026-servicios-integrales-transporte-material-muestras-biologicas-marco	60100000-9, 60161000-4	Abierto simplificado	Electrónica	3 años	Fondo Europeo de Desarrollo Regional	2100-12-31	No aplica	Ordinaria	El objeto del presente contrato tiene por finalidad la contratación de servicios de transporte y mensajería especializada, destinados al envío y recogida de material y muestras biológicas, que deberán ser transportadas en condiciones de temperatura ambiente, refrigeración o en hielo seco, conforme a las especificaciones técnicas establecidas. Este servicio es esencial para la adecuada realización del proyecto PI25/00971 “Fármacos para la enfermedad inflamatoria intestinal (EII) durante el embarazo y la lactancia: impacto en el sistema inmune de los niños (DUMBO 3)”.	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
P.A.S. 2026-5-29. Suministro de: prótesis valvular en posición pulmonar autoexpandible para el Hospital universitario La Paz	P.A.S. 2026-5-29	Suministros	En plazo	119975.0	119975.0	2026-08-24	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pas-2026-5-29-suministro-protesis-valvular-posicion-pulmonar-autoexpandible	33184100-4	Abierto simplificado	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Suministro de: prótesis valvular en posición pulmonar autoexpandible para el Hospital universitario La Paz	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
P.A.S.A. 43/2026. Servicio de Mantenimiento integral del Robot Quirúrgico AQUABEAM PROCEPT de alta tecnología del Hospital Universitario La Paz.	P.A.S.A. 43/2026	Servicios	En plazo	14850.0	59400.0	2026-08-20	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pasa-432026-servicio-mantenimiento-integral-robot-quirurgico-aquabeam-procept-alta	50420000-5	Otro procedimiento	Electrónica	6 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Servicio de Mantenimiento integral del Robot Quirúrgico AQUABEAM PROCEPT de alta tecnología del Hospital Universitario La Paz	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
P.A.S. 52/2026. Servicio de archivo, depósito, custodia, digitalización, almacenamiento digital y gestión de la documentación administrativa y auxiliar generada por el Hospital Universitario La Paz-Carlos III- Cantoblanco y sus centros adscritos	P.A.S. 52/2026	Servicios	En plazo	86395.57	132473.2	2026-08-24	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/pas-522026-servicio-archivo-deposito-custodia-digitalizacion-almacenamiento	63120000-6	Abierto simplificado	Electrónica	36 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Servicio de archivo, depósito, custodia, digitalización, almacenamiento digital y gestión de la documentación administrativa y auxiliar generada por el Hospital Universitario La Paz-Carlos III- Cantoblanco y sus centros adscritos	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
Codificación Clínica	PAS 100/26	Servicios	En plazo	127367.6	127367.6	2026-08-24	NotFound	https://contratos-publicos.comunidad.madrid/contrato-publico/codificacion-clinica-0	72330000-2	Abierto simplificado	Electrónica	12 meses	No hay financiación de la Unión Europea	2100-12-31	No aplica	Ordinaria	Servicio de Codificación Clínica de Informes de Episodios Asistenciales para el Hospital Universitario Príncipe de Asturias	NotFound	Comunidad de Madrid	2026-08-18	Comunidad De Madrid	Comunidad De Madrid	Sin tema	N/S		
